"","row_id","player_id","school","wave","session","date","event_id","event_description","event_category","event_time","event_time_dbl","minigame_level","total_points","total_strikes","missed_safe_invitations","accepted_unsafe_invitations","skill_id","priority_type_2","player_points","opponent_points","old_skill_point","new_skill_point","S5_mean.0","S5_mean.3","S5_mean.6","S5_mean.12","S5_mean.24"
"1",308552,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",900,"Player closes intro panel to start game","People Sense","17M 51S",1071,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",308553,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","17M 56S",1076,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",308554,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","17M 57S",1077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",308555,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","17M 57S",1077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",308556,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","17M 57S",1077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",308557,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","18M 2S",1082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",308558,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","18M 2S",1082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",308606,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",900,"Player closes intro panel to start game","People Sense","20M 10S",1210,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",308607,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","20M 13S",1213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",308608,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","20M 13S",1213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",308609,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","20M 15S",1215,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",308610,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","20M 20S",1220,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",308611,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","20M 20S",1220,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",308612,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","20M 23S",1223,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",308613,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","20M 23S",1223,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",308614,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","20M 30S",1230,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",308615,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","20M 37S",1237,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",308616,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","20M 43S",1243,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",308617,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","20M 44S",1244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",308618,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","20M 50S",1250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",308619,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","20M 50S",1250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",308620,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","20M 51S",1251,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",308621,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","21M 3S",1263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",308622,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","21M 5S",1265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",308623,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","21M 5S",1265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",308624,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","21M 9S",1269,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",308625,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","21M 12S",1272,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",308626,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","21M 19S",1279,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",308627,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","21M 26S",1286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",308628,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","21M 27S",1287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",308629,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","21M 27S",1287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",308630,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",905,"Player drops an NPC in a rank slot","People Sense","21M 31S",1291,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",308631,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",901,"Player selects an NPC","People Sense","21M 33S",1293,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",308632,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",904,"Player starts drag on NPC","People Sense","21M 33S",1293,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",308633,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","21M 34S",1294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",308634,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",903,"Player hits Done button on NPC fact","People Sense","21M 38S",1298,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",308635,6427031,3561,"3561 YES! Program Fall 2013","Session 1","2013-10-23",902,"Player selects an NPC fact","People Sense","21M 39S",1299,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
