"","row_id","player_id","school","wave","session","date","event_id","event_description","event_category","event_time","event_time_dbl","minigame_level","total_points","total_strikes","missed_safe_invitations","accepted_unsafe_invitations"
"248",972466,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",900,"Player closes intro panel to start game","People Sense","11M 22S",682,0,NA,NA,NA,NA
"249",972467,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 38S",698,0,NA,NA,NA,NA
"250",972468,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 40S",700,0,NA,NA,NA,NA
"251",972469,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 41S",701,0,NA,NA,NA,NA
"252",972470,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",904,"Player starts drag on NPC","People Sense","11M 41S",701,0,NA,NA,NA,NA
"253",972471,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 43S",703,0,NA,NA,NA,NA
"254",972472,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 46S",706,0,NA,NA,NA,NA
"255",972473,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 46S",706,0,NA,NA,NA,NA
"256",972474,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 47S",707,0,NA,NA,NA,NA
"257",972475,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 49S",709,0,NA,NA,NA,NA
"258",972476,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 50S",710,0,NA,NA,NA,NA
"259",972477,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 52S",712,0,NA,NA,NA,NA
"260",972478,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","11M 59S",719,0,NA,NA,NA,NA
"261",972479,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","12M 0S",720,0,NA,NA,NA,NA
"262",972480,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 7S",727,0,NA,NA,NA,NA
"263",972481,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 9S",729,0,NA,NA,NA,NA
"264",972482,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 9S",729,0,NA,NA,NA,NA
"265",972483,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 9S",729,0,NA,NA,NA,NA
"266",972484,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",903,"Player hits Done button on NPC fact","People Sense","12M 11S",731,0,NA,NA,NA,NA
"267",972485,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","12M 12S",732,0,NA,NA,NA,NA
"268",972486,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","12M 13S",733,0,NA,NA,NA,NA
"269",972487,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 15S",735,0,NA,NA,NA,NA
"270",972488,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 15S",735,0,NA,NA,NA,NA
"271",972489,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",903,"Player hits Done button on NPC fact","People Sense","12M 16S",736,0,NA,NA,NA,NA
"272",972490,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",901,"Player selects an NPC","People Sense","12M 21S",741,0,NA,NA,NA,NA
"273",972491,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",904,"Player starts drag on NPC","People Sense","12M 21S",741,0,NA,NA,NA,NA
"274",972492,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 26S",746,0,NA,NA,NA,NA
"275",972493,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",903,"Player hits Done button on NPC fact","People Sense","12M 30S",750,0,NA,NA,NA,NA
"276",972494,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 31S",751,0,NA,NA,NA,NA
"277",972495,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",903,"Player hits Done button on NPC fact","People Sense","12M 33S",753,0,NA,NA,NA,NA
"278",972496,6486029,647,"Spring (Wave 1) 2014 Class 1","Session 1","2014-02-11",902,"Player selects an NPC fact","People Sense","12M 34S",754,0,NA,NA,NA,NA
