"","player_id","S5_mean.0","S5_mean.3","S5_mean.6","S5_mean.12","S5_mean.24"
"1",6427001,3.9,3.9,3.875,NA,NA
"4",6427027,3.8,4,4,3.8,3.6
"9",6427030,2.9,3,3.2,3.3,3.5
"14",6427032,4,3.9,4,3.9,3.8
"19",6427034,4,3.8,4,3.9,4
"24",6427036,3.8,3.8,3.7,4,NA
"28",6427037,4,NA,4,4,NA
"31",6427038,NA,NA,NA,3.1,NA
"32",6427039,4,4,4,4,4
"37",6427040,3.9,3.8,4,3.9,NA
"41",6427041,3.9,3.8,3,4,3.2
"46",6429001,3.8,NA,NA,NA,NA
"47",6430002,4,4,4,4,4
"52",6430003,4,4,3.7,NA,NA
"55",6430004,3.9,3.7,3.9,3.8,NA
"59",6430008,4,3.7,3.7,4,3.9
"64",6486001,4,NA,NA,NA,3.7
"66",6486002,4,4,3.8,4,3.9
"71",6486003,4,4,NA,4,4
"75",6486004,3.9,3.9,4,3.9,NA
"79",6486005,3.5,3.5,3.6,3.7,4
"84",6486009,4,3.1,NA,3.8,NA
"87",6486011,4,4,4,4,NA
"91",6486013,4,NA,NA,NA,NA
"92",6486018,1.3,3.7,3.1,NA,NA
"95",6486019,3,4,3.9,4,NA
"99",6486020,4,NA,NA,NA,NA
"100",6486023,4,3.9,4,4,NA
"104",6486025,3.9,NA,4,4,NA
"107",6486026,4,4,4,4,NA
"111",6486029,4,4,4,3.5,NA
"115",6486032,4,4,4,3.9,NA
"119",6486033,4,4,4,4,NA
"123",6486034,3.9,NA,NA,NA,NA
"124",6486038,4,4,4,4,NA
"128",6486039,4,4,4,4,NA
"132",6486040,4,NA,NA,3.9,NA
"134",6506008,4,NA,3.9,4,3.3
"138",6506009,3.9,NA,NA,3.9,4
"141",6546001,3.7,3.9,3.875,3.9,3.8
"146",6546005,4,3.7,3.7,3.7,3.7
"151",6546006,4,4,4,4,4
"156",6546008,3.9,4,4,NA,NA
"159",6546011,3.5,3.7,3.8,NA,NA
"162",6546014,3.9,3.9,NA,NA,NA
"164",6566001,4,4,4,NA,NA
"167",6566003,4,4,NA,NA,NA
"169",6567002,3.6,4,4,4,4
"174",6567003,4,4,4,4,4
"179",6567005,3.6,NA,3.1,NA,NA
"181",6606001,4,3.6,NA,NA,NA
"183",6606002,3.1,NA,NA,NA,NA
"184",6606003,3.5,3.1,3.8,4,4
"189",6606004,3.9,4,4,4,4
"194",6606005,3,4,4,4,NA
"198",6606006,4,4,NA,NA,NA
"200",6606011,4,3.8,3.8,NA,NA
"203",6607006,4,NA,4,2.7,4
"207",6607007,4,4,4,4,4
"212",6607008,3.9,NA,3.9,3.9,3.9
"216",6607009,4,4,3.9,4,4
"221",6607010,4,4,4,4,4
"226",6608002,4,4,3.9,4,4
"231",NA,3.8,3.8,3.5,4,NA
