"","date","total_points","event_id.x","player_id","minigame_level","missed_safe_invitations","accepted_unsafe_invitations","initial_date","time_since_initial","avatar_age","avatar_gender","avatar_id","event_id.y"
"1",2013-03-07,27,911,6427001,0,0,2,2013-03-07,0,13,"Male","Hispanic",602
"2",2013-03-07,35,911,6427001,0,0,0,2013-03-07,0,13,"Male","Hispanic",602
"3",2013-03-07,-1,911,6427001,0,0,0,2013-03-07,0,13,"Male","Hispanic",602
"4",2013-03-07,33,911,6427001,0,0,0,2013-03-07,0,13,"Male","Hispanic",602
"5",2013-03-07,13,911,6427001,0,0,1,2013-03-07,0,13,"Male","Hispanic",602
"6",2013-03-12,39,911,6427001,0,0,0,2013-03-07,0.714285714285714,13,"Male","Hispanic",602
"7",2013-03-12,36,911,6427001,1,1,1,2013-03-07,0.714285714285714,13,"Male","Hispanic",602
"8",2013-03-12,3,911,6427001,2,1,2,2013-03-07,0.714285714285714,13,"Male","Hispanic",602
"9",2013-03-14,45,911,6427001,5,0,1,2013-03-07,1,13,"Male","Hispanic",602
"10",2013-03-14,36,911,6427001,2,0,0,2013-03-07,1,13,"Male","Hispanic",602
"11",2013-03-14,-2,911,6427001,7,1,1,2013-03-07,1,13,"Male","Hispanic",602
"12",2013-03-19,-16,911,6427001,8,2,2,2013-03-07,1.71428571428571,13,"Male","Hispanic",602
"13",2013-03-19,41,911,6427001,3,0,1,2013-03-07,1.71428571428571,13,"Male","Hispanic",602
"14",2013-03-19,6,911,6427001,8,1,0,2013-03-07,1.71428571428571,13,"Male","Hispanic",602
"15",2013-03-19,25,911,6427001,7,1,0,2013-03-07,1.71428571428571,13,"Male","Hispanic",602
"16",2013-03-21,44,911,6427001,6,0,0,2013-03-07,2,13,"Male","Hispanic",602
"17",2013-03-26,57,911,6427001,9,0,1,2013-03-07,2.71428571428571,13,"Male","Hispanic",602
"18",2013-03-26,20,911,6427001,8,0,0,2013-03-07,2.71428571428571,13,"Male","Hispanic",602
"19",2013-03-26,32,911,6427001,1,1,0,2013-03-07,2.71428571428571,13,"Male","Hispanic",602
"20",2013-03-26,59,911,6427001,5,0,0,2013-03-07,2.71428571428571,13,"Male","Hispanic",602
"21",2013-03-26,25,911,6427001,7,1,0,2013-03-07,2.71428571428571,13,"Male","Hispanic",602
"22",2013-04-02,45,911,6427001,3,0,1,2013-03-07,3.71428571428571,13,"Male","Hispanic",602
"23",2013-04-02,41,911,6427001,3,0,0,2013-03-07,3.71428571428571,13,"Male","Hispanic",602
"24",2013-04-02,39,911,6427001,7,0,0,2013-03-07,3.71428571428571,13,"Male","Hispanic",602
"25",2013-04-02,45,911,6427001,8,0,0,2013-03-07,3.71428571428571,13,"Male","Hispanic",602
"26",2013-04-09,21,911,6427001,4,0,0,2013-03-07,4.71428571428571,13,"Male","Hispanic",602
"27",2013-04-23,50,911,6427001,9,0,0,2013-03-07,6.71428571428571,13,"Male","Hispanic",602
"28",2013-03-07,15,911,6427002,0,0,1,2013-03-07,0,13,"Female","African American",602
"29",2013-03-07,-19,911,6427002,0,1,1,2013-03-07,0,13,"Female","African American",602
"30",2013-03-07,45,911,6427002,0,0,0,2013-03-07,0,13,"Female","African American",602
"31",2013-03-07,3,911,6427002,1,3,1,2013-03-07,0,13,"Female","African American",602
"32",2013-03-07,14,911,6427002,1,2,0,2013-03-07,0,13,"Female","African American",602
"33",2013-03-07,37,911,6427002,1,0,0,2013-03-07,0,13,"Female","African American",602
"34",2013-03-07,37,911,6427002,1,0,0,2013-03-07,0,13,"Female","African American",602
"35",2013-03-07,33,911,6427004,0,0,0,2013-03-07,0,13,"Female","African American",602
"36",2013-03-07,24,911,6427004,0,0,0,2013-03-07,0,13,"Female","African American",602
