"","player_id","S5_mean.0","S5_mean.3","S5_mean.6","S5_mean.12","S5_mean.24","max_weeks","max_week_value","perc_diff"
"1",6427001,3.9,3.9,3.875,NA,NA,6,3.875,-0.00641025641025639
"2",6427027,3.8,4,4,3.8,3.6,24,3.6,-0.0526315789473684
"3",6427030,2.9,3,3.2,3.3,3.5,24,3.5,0.206896551724138
"4",6427032,4,3.9,4,3.9,3.8,24,3.8,-0.05
"5",6427034,4,3.8,4,3.9,4,24,4,0
"6",6427036,3.8,3.8,3.7,4,NA,12,4,0.0526315789473685
"7",6427037,4,NA,4,4,NA,12,4,0
"8",6427039,4,4,4,4,4,24,4,0
"9",6427040,3.9,3.8,4,3.9,NA,12,3.9,0
"10",6427041,3.9,3.8,3,4,3.2,24,3.2,-0.179487179487179
"11",6429001,3.8,NA,NA,NA,NA,0,3.8,0
"12",6430002,4,4,4,4,4,24,4,0
"13",6430003,4,4,3.7,NA,NA,6,3.7,-0.075
"14",6430004,3.9,3.7,3.9,3.8,NA,12,3.8,-0.0256410256410257
"15",6430008,4,3.7,3.7,4,3.9,24,3.9,-0.025
"16",6486001,4,NA,NA,NA,3.7,24,3.7,-0.075
"17",6486002,4,4,3.8,4,3.9,24,3.9,-0.025
"18",6486003,4,4,NA,4,4,24,4,0
"19",6486004,3.9,3.9,4,3.9,NA,12,3.9,0
"20",6486005,3.5,3.5,3.6,3.7,4,24,4,0.142857142857143
"21",6486009,4,3.1,NA,3.8,NA,12,3.8,-0.05
"22",6486011,4,4,4,4,NA,12,4,0
"23",6486013,4,NA,NA,NA,NA,0,4,0
"24",6486019,3,4,3.9,4,NA,12,4,0.333333333333333
"25",6486020,4,NA,NA,NA,NA,0,4,0
"26",6486023,4,3.9,4,4,NA,12,4,0
"27",6486025,3.9,NA,4,4,NA,12,4,0.0256410256410257
"28",6486026,4,4,4,4,NA,12,4,0
"29",6486029,4,4,4,3.5,NA,12,3.5,-0.125
"30",6486032,4,4,4,3.9,NA,12,3.9,-0.025
"31",6486033,4,4,4,4,NA,12,4,0
"32",6486034,3.9,NA,NA,NA,NA,0,3.9,0
"33",6486038,4,4,4,4,NA,12,4,0
"34",6486039,4,4,4,4,NA,12,4,0
"35",6486040,4,NA,NA,3.9,NA,12,3.9,-0.025
"36",6506008,4,NA,3.9,4,3.3,24,3.3,-0.175
"37",6506009,3.9,NA,NA,3.9,4,24,4,0.0256410256410257
"38",6546001,3.7,3.9,3.875,3.9,3.8,24,3.8,0.0270270270270269
"39",6546005,4,3.7,3.7,3.7,3.7,24,3.7,-0.075
"40",6546006,4,4,4,4,4,24,4,0
"41",6546008,3.9,4,4,NA,NA,6,4,0.0256410256410257
"42",6546011,3.5,3.7,3.8,NA,NA,6,3.8,0.0857142857142857
"43",6546014,3.9,3.9,NA,NA,NA,3,3.9,0
"44",6566001,4,4,4,NA,NA,6,4,0
"45",6566003,4,4,NA,NA,NA,3,4,0
"46",6567002,3.6,4,4,4,4,24,4,0.111111111111111
"47",6567003,4,4,4,4,4,24,4,0
"48",6567005,3.6,NA,3.1,NA,NA,6,3.1,-0.138888888888889
"49",6606001,4,3.6,NA,NA,NA,3,3.6,-0.1
"50",6606002,3.1,NA,NA,NA,NA,0,3.1,0
"51",6606003,3.5,3.1,3.8,4,4,24,4,0.142857142857143
"52",6606004,3.9,4,4,4,4,24,4,0.0256410256410257
"53",6606005,3,4,4,4,NA,12,4,0.333333333333333
"54",6606006,4,4,NA,NA,NA,3,4,0
"55",6606011,4,3.8,3.8,NA,NA,6,3.8,-0.05
"56",6607006,4,NA,4,2.7,4,24,4,0
"57",6607007,4,4,4,4,4,24,4,0
"58",6607008,3.9,NA,3.9,3.9,3.9,24,3.9,0
"59",6607009,4,4,3.9,4,4,24,4,0
"60",6607010,4,4,4,4,4,24,4,0
"61",6608002,4,4,3.9,4,4,24,4,0
