"","player_id","weeks","S5_mean","avatar_age","avatar_gender","avatar_id","event_id"
"1",6427001,0,3.9,13,"Male","Hispanic",602
"2",6427001,3,3.9,13,"Male","Hispanic",602
"3",6427001,6,3.875,13,"Male","Hispanic",602
"4",6427027,0,3.8,12,"Male","Caucasian",602
"5",6427027,3,4,12,"Male","Caucasian",602
"6",6427027,6,4,12,"Male","Caucasian",602
"7",6427027,12,3.8,12,"Male","Caucasian",602
"8",6427027,24,3.6,12,"Male","Caucasian",602
"9",6427030,0,2.9,11,"Male","Hispanic",602
"10",6427030,3,3,11,"Male","Hispanic",602
"11",6427030,6,3.2,11,"Male","Hispanic",602
"12",6427030,12,3.3,11,"Male","Hispanic",602
"13",6427030,24,3.5,11,"Male","Hispanic",602
"14",6427032,0,4,11,"Male","African American",602
"15",6427032,3,3.9,11,"Male","African American",602
"16",6427032,6,4,11,"Male","African American",602
"17",6427032,12,3.9,11,"Male","African American",602
"18",6427032,24,3.8,11,"Male","African American",602
"19",6427034,0,4,13,"Male","Caucasian",602
"20",6427034,3,3.8,13,"Male","Caucasian",602
"21",6427034,6,4,13,"Male","Caucasian",602
"22",6427034,12,3.9,13,"Male","Caucasian",602
"23",6427034,24,4,13,"Male","Caucasian",602
"24",6427036,0,3.8,11,"Female","African American",602
"25",6427036,3,3.8,11,"Female","African American",602
"26",6427036,6,3.7,11,"Female","African American",602
"27",6427036,12,4,11,"Female","African American",602
"28",6427037,0,4,12,"Female","Caucasian",602
"29",6427037,6,4,12,"Female","Caucasian",602
"30",6427037,12,4,12,"Female","Caucasian",602
"31",6427038,12,3.1,11,"Female","Hispanic",602
"32",6427039,0,4,12,"Male","African American",602
"33",6427039,3,4,12,"Male","African American",602
"34",6427039,6,4,12,"Male","African American",602
"35",6427039,12,4,12,"Male","African American",602
"36",6427039,24,4,12,"Male","African American",602
"37",6427040,0,3.9,13,"Male","African American",602
"38",6427040,3,3.8,13,"Male","African American",602
"39",6427040,6,4,13,"Male","African American",602
"40",6427040,12,3.9,13,"Male","African American",602
"41",6427041,0,3.9,11,"Female","African American",602
"42",6427041,3,3.8,11,"Female","African American",602
"43",6427041,6,3,11,"Female","African American",602
"44",6427041,12,4,11,"Female","African American",602
"45",6427041,24,3.2,11,"Female","African American",602
"46",6429001,0,3.8,12,"Male","Caucasian",602
"47",6430002,0,4,13,"Female","African American",602
"48",6430002,3,4,13,"Female","African American",602
"49",6430002,6,4,13,"Female","African American",602
"50",6430002,12,4,13,"Female","African American",602
"51",6430002,24,4,13,"Female","African American",602
"52",6430003,0,4,12,"Male","Hispanic",602
"53",6430003,3,4,12,"Male","Hispanic",602
"54",6430003,6,3.7,12,"Male","Hispanic",602
"55",6430004,0,3.9,11,"Male","Hispanic",602
"56",6430004,3,3.7,11,"Male","Hispanic",602
"57",6430004,6,3.9,11,"Male","Hispanic",602
"58",6430004,12,3.8,11,"Male","Hispanic",602
"59",6430008,0,4,11,"Female","Hispanic",602
"60",6430008,3,3.7,11,"Female","Hispanic",602
"61",6430008,6,3.7,11,"Female","Hispanic",602
"62",6430008,12,4,11,"Female","Hispanic",602
"63",6430008,24,3.9,11,"Female","Hispanic",602
"64",6486001,0,4,14,"Male","Hispanic",602
"65",6486001,24,3.7,14,"Male","Hispanic",602
"66",6486002,0,4,14,"Male","Hispanic",602
"67",6486002,3,4,14,"Male","Hispanic",602
"68",6486002,6,3.8,14,"Male","Hispanic",602
"69",6486002,12,4,14,"Male","Hispanic",602
"70",6486002,24,3.9,14,"Male","Hispanic",602
"71",6486003,0,4,12,"Female","Hispanic",602
"72",6486003,3,4,12,"Female","Hispanic",602
"73",6486003,12,4,12,"Female","Hispanic",602
"74",6486003,24,4,12,"Female","Hispanic",602
"75",6486004,0,3.9,12,"Female","Hispanic",602
"76",6486004,3,3.9,12,"Female","Hispanic",602
"77",6486004,6,4,12,"Female","Hispanic",602
"78",6486004,12,3.9,12,"Female","Hispanic",602
"79",6486005,0,3.5,13,"Male","Hispanic",602
"80",6486005,3,3.5,13,"Male","Hispanic",602
"81",6486005,6,3.6,13,"Male","Hispanic",602
"82",6486005,12,3.7,13,"Male","Hispanic",602
"83",6486005,24,4,13,"Male","Hispanic",602
"84",6486009,0,4,14,"Female","Hispanic",602
"85",6486009,3,3.1,14,"Female","Hispanic",602
